ID,Descrição,Preço,Estoque,Descrição complementar
757185873,Bola de Beach Tennis DROP SHOT - Bola Oficial Terno ,"70,7079640000","16.755,0000","<p><strong>Bola de Beach Tennis Drop Shot - Bola Oficial Terno (3 unidades)</strong></p> <p>Bola desenvolvida segundo os padrões internacionais , com a qualidade e tradição Drop Shot.</p> <p>Considerada a melhor bola do mundo.</p> <p>Aprovada pela <strong>ITF</strong> (International Tennis Federation)</p> <p>Stage 2 - Play and Stay para Tennis</p> <p>Alta durabilidade, excelente para todos os níveis</p> <p>Preço para 1 terno de bola (3 unidades).</p> <p>Cores: Laranja com amarelo </p> <p>Prazo de postagem: 3 dias úteis.</p>"
757186032,Bola de Padel DROP SHOT TOURNAMENT- Terno,"70,7079640000","2.735,0000","<p><strong>Bola de Padel DROP SHOT TOURNAMENT</strong></p> <p><strong>Um dos produtos mais procurados no mercado, são as Bolas de Padel <strong>DROP SHOT TOURNAMENT,</strong> um produto de alta qualidade para que os jogadores possam desfrutar do padel de forma natural, muito durável e a um preço competitivo.</strong></p> <p><strong>As Bolas <strong>TOURNAMENT </strong>são caracterizadas pelo nível de competição que proporcionam, graças à sua máxima visibilidade, rebote natural, alta sensibilidade e com durabilidade exepcional. </strong></p> <p><strong>Elas são oferecidas em um tubo clássico de três bolas para a prática esportiva.</strong></p> <p><strong>Na Drop Shot somos especialistas na fabricação de produtos e as Bolas de Padel Drop Shot Tournament garantem uma ótima jogabilidade.</strong></p> <p><strong>Tipo de produto: acessório</strong></p> <p><strong>Qualidades: Durabilidade e visibilidade</strong></p> <p><strong>Nível de jogo: Competição</strong></p> <p><strong>Material: borracha e feltro</strong></p> <p><strong>Prazo de postagem: 3 dias úteis.</strong></p> <p><strong><strong>* Fotos meramente ilustrativas , cores e tonalidades podem variar de acordo com a luz e tela do dispositivo que você visualiza</strong><br></strong></p>"
757213774,Capa DROP SHOT para raquete de beach tennis e padel,"93,8028169014","1.271,0000","<p><strong>Capa Drop Shot para</strong><strong> raquete beach tennis e padel</strong><br><br></p> <p>Capa para uma raquete de beach tennis ou padel.</p> <p>Capa com ziper, bolso lateral e alca com ajuste.</p> <p>Excelente qualidade para proteção do seu equipamento.</p> <p>Cores: Preto</p> <p>Prazo para postagem: 3 dias úteis</p> <p><strong> </strong><span style=""font-family: var(--tx-ff, 'Open Sans'); font-size: var(--tx-fs,14px); font-weight: var(--tx-fw,600); letter-spacing: var(--tx-ls,0px); text-transform: var(--tx-tt,none); color: #4c4c4c; font-variant-ligatures: none;"">* Fotos meramente ilustrativas , cores e tonalidades do produto, podem variar de acordo com a luz e tela do dispositivo que você visualização.</span></p>"
757215905,Chinelo DROP SHOT BEACH TENNIS Laranja - 37/38,"49,9000000000","1,0000","<p><strong>Chinelo DROP SHOT BEACH TENNIS Laranja</strong></p> <p><br>Modelo desenvolvido dentro da linha calçados, seguindo os padrões de qualidade e conforto, resultando em um modelo com cores vibrantes e modernas, que irão combinar com seu estilo dentro e fora das quadras. <br>O chinelo <strong>DROP SHOT BEACH TENNIS, </strong>é um sucesso para o verão brasileiro, que você não pode deixar de ter em sua coleção. <strong><br></strong></p> <p>Feminino</p> <p>Chinelo de borracha linha conforto.</p> <p>Estampa exclusiva colors</p> <p>Ideal para descanso dos seus pés , depois do treino.</p> <p>Cores : Laranja( consulte cor Azul no site)</p> <p>Tamanhos: 33/34,35/36,37/38,39/40</p> <p> </p> <p><strong>Prazo para postagem: 3 dias úteis</strong></p> <p>* Fotos meramente ilustrativas , cores e tonalidades do produto, podem variar de acordo com a luz e tela do dispositivo que você visualiza.</p>"
757216336,Chinelo DROP SHOT COLORS Marinho - 37/38,"49,9000000000","1,0000","<p><strong>Chinelo DROP SHOT COLORS Marinho</strong></p> <p><br>Modelo desenvolvido dentro da linha calçados, seguindo os padrões de qualidade e conforto, resultando em um modelo com cores vibrantes e modernas, que irão combinar com seu estilo dentro e fora das quadras. <br>O chinelo <strong>DROP SHOT COLORS, </strong>é um sucesso para o verão brasileiro, que você não pode deixar de ter em sua coleção. <strong><br></strong></p> <p>Feminino</p> <p>Chinelo de borracha linha conforto.</p> <p>Estampa exclusiva colors</p> <p>Ideal para descanso dos seus pés , depois do treino.</p> <p>Cores : Marinho ( consulte cor laranja no site)</p> <p>Tamanhos: 33/34,35/36,37/38,39/40</p> <p> </p> <p><strong>Prazo para postagem: 3 dias úteis</strong></p> <p>* Fotos meramente ilustrativas , cores e tonalidades do produto, podem variar de acordo com a luz e tela do dispositivo que você visualiza.</p>"
757217038,Chinelo DROP SHOT Verde - 37/38,"49,9000000000","1,0000","<p><strong>Chinelo DROP SHOT Verde</strong></p> <p>Modelo desenvolvido dentro da linha calçados, seguindo os padrões de qualidade e conforto, resultando em um modelo com cores vibrantes e modernas, que irão combinar com seu estilo dentro e fora das quadras.</p> <p>O chinelo<strong> DROP SHOT </strong>é um sucesso para o verão brasileiro, que você não pode deixar de ter em sua coleção.<br><br>Masculino<br><br>Chinelo de borracha linha conforto.<br><br>Estampa exclusiva</p> <p>Ideal para descanso dos seus pés , depois do treino.</p> <p>Cores :Verde água com branco (consulte cores marinho e preto com branco)<br><br>Tamanhos: 37/38 , 39/40, 41/42, 43/44<br><br>Prazo para postagem: 3 dias úteis<br><br>* Fotos meramente ilustrativas , cores e tonalidades do produto, podem variar de acordo com a luz e tela do dispositivo que você visualiza.</p>"
757220744,Marcação completa DROP SHOT para Beach Tennis,"424,9000000000","55,0000","<p><strong>Marcação DROP SHOT para Beach Tennis</strong></p> <p>Marcação que segue os padrões internacionais do esporte. </p> <p>Desenvolvida em material de alta qualidade, a fita possui caracteristicas de sign que não permitem o acumulo de areia, facilitando a visualização da quadra pelos atletas. </p> <p>Produto lavável que possibilita manter o material em condições por muito mais tempo. </p> <p>Possui ilhoses em PVC que nao enfurrajam com a maresia. </p> <p>Acompanha Espeques de fixação em alumínio, com formato anatômico , diminuindo o risco de lesões ao pisar sobre a fita. </p> <p> </p> <p> </p> <p><strong>Cores :</strong> Preto com laranja e Preto com verde limão</p> <p><strong>Dimensões : </strong>8m x 16m </p> <p><strong>Entrega:</strong> 3 dias úteis</p> <p> </p> <p> </p> <p> </p>"
789440799,Mochila DROP SHOT AIRAM JMD,"844,9765258210","34,0000","<p><strong><span style=""font-size: 10pt;"">MOCHILA DROP SHOT ALSAI CAMPA</span></strong></p> <p>Nesta temporada é lançada no mercado a linha Alsai Campa do nosso jogador Lucas Campagnolo. Para o seu design levamos em consideração algumas das qualidades mais notáveis ​​de Lucas; como a alegria que demonstra dentro e fora da quadra e que se transmite no produto através de suas cores e da elegância com que executa cada arremesso em campo.</p> <p>Da nova coleção de bolsas 2023 está a mochila Alsai Campa Drop Shot, um acessório que irá acompanhá-lo onde quer que você vá.</p> <p>Seu design foi pensado para oferecer conforto e comodidade. A mochila Alsai Campa Drop Shot é composta por um amplo compartimento central, um espaço reservado para guardar sua raquete de paddle e um bolso para guardar pequenos pertences. A mochila possui base especialmente reforçada que garante a resistência e durabilidade do produto. Além disso, suas alças se caracterizam por serem extra acolchoadas para que transportar sua mochila seja o mais confortável possível.</p> <p>A mochila Alsai Campa Drop Shot é confeccionada em couro PU; um material de qualidade que oferece um acabamento sublime.</p> <p>Quanto ao seu estilo, podemos falar de um design moderno, casual e atemporal. A mochila Alsai Campa Drop Shot será o acessório perfeito para completar o seu look. Seus detalhes em azul e laranja combinam com toda a linha Alsai Campa que nosso jogador usará no World Padel Tour 2023</p> <p><strong><span style=""font-size: 10pt;"">Tecnologias Mochila Drop Shot Alsai Campa</span></strong></p> <p>Na Drop Shot conquistamos sua confiança oferecendo produtos de alta qualidade. Para a produção da nossa coleção de bolsas 2023 utilizamos materiais que garantem a resistência do produto para que nossos clientes possam aproveitar seus benefícios por muito tempo.</p> <p><strong>Poliuretano</strong>: garante alto nível de resistência e qualidade aos produtos.</p> <p><strong>Base especialmente reforçada</strong>: nos preocupamos com o cuidado dos seus pertences, por isso a mochila Airam JMD Drop Shot possui proteção extra em sua base.</p> <p><strong><span style=""font-size: 10pt;"">Características Drop Shot Mochila Alsai Campa</span></strong></p> <p><strong>Tipo de produto</strong>: Bolsa Padel</p> <p><strong>Qualidades</strong>: Conforto e Durabilidade</p> <p><strong>Nível do jogo</strong>: Todos os níveis</p> <p><strong>Material</strong>: Poliéster</p> <p><strong>Tecnologias</strong>: Poliéster</p> <p><strong>Medidas</strong>: 31 x 15 x 51</p> <p><span style=""font-size: 10pt;""><strong>Prazo de Postagem : 3 dias úteis.</strong></span></p> <p><span style=""font-size: 10pt;""><strong>* Fotos meramente ilustrativas , cores e tonalidades podem variar de acordo com a luz e tela do dispositivo que você visualiza.</strong></span></p>"
789440581,Mochila DROP SHOT BENTOR LIMA,"844,9765258210","43,0000","<p style=""box-sizing: inherit; margin: 0px 0px 1em; padding: 0px; color: #b1b9c9; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; background-color: #1c1e2a; outline: none !important;""><br style=""box-sizing: inherit; outline: none !important;"">MOCHILA DROP SHOT BENTOR LIMA</p> <p style=""box-sizing: inherit; margin: 0px 0px 1em; padding: 0px; color: #b1b9c9; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; background-color: #1c1e2a; outline: none !important;"">Este ano, para a coleção de bolsas 2023, projetamos com especial carinho a linha Bentor do nosso jogador Pablo Lima, pois será a última mochila que ele usará no World Padel Tour em 2023.</p> <p style=""box-sizing: inherit; margin: 0px 0px 1em; padding: 0px; color: #b1b9c9; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; background-color: #1c1e2a; outline: none !important;"">O design da Mochila Drop Shot Bentor Lima segue fielmente os valores defendidos por Pablo Lima: reinvenção, qualidade e esforço.</p> <p style=""box-sizing: inherit; margin: 0px 0px 1em; padding: 0px; color: #b1b9c9; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; background-color: #1c1e2a; outline: none !important;"">A Mochila Drop Shot Bentor Lima é composta por um compartimento central de grande tamanho, um espaço reservado para guardar sua raquete de padel e um bolso para objetos menores. Além disso, possui uma base especialmente reforçada que garante a resistência e durabilidade do produto. Suas alças são caracterizadas por serem extra acolchoadas para que transportar sua mochila seja o mais confortável possível. Na Drop Shot, queremos que o transporte de seus pertences seja confortável e fácil para você.</p> <p style=""box-sizing: inherit; margin: 0px 0px 1em; padding: 0px; color: #b1b9c9; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; background-color: #1c1e2a; outline: none !important;"">A qualidade da Mochila Drop Shot Bentor Lima reside no tecido que a compõe: poliéster, um material resistente que garante a durabilidade do produto.</p> <p style=""box-sizing: inherit; margin: 0px 0px 1em; padding: 0px; color: #b1b9c9; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; background-color: #1c1e2a; outline: none !important;"">Quanto ao estilo, a Mochila Drop Shot Bentor Lima apresenta um design elegante que combina detalhes em preto e dourado. Na parte frontal, é impresso o logotipo e a assinatura da linha Bentor. A mochila é finalizada com a peça de metal em tom prata com o logotipo da Drop Shot.</p> <p style=""box-sizing: inherit; margin: 0px 0px 1em; padding: 0px; color: #b1b9c9; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; background-color: #1c1e2a; outline: none !important;"">Tecnologias da Mochila Drop Shot Bentor Lima: Poliéster: garante um alto nível de resistência e qualidade aos produtos.</p> <p style=""box-sizing: inherit; margin: 0px 0px 1em; padding: 0px; color: #b1b9c9; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; background-color: #1c1e2a; outline: none !important;"">Base especialmente reforçada: nos importamos com a proteção de seus pertences, por isso possui uma proteção extra na base.</p> <p style=""box-sizing: inherit; margin: 0px 0px 1em; padding: 0px; color: #b1b9c9; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; background-color: #1c1e2a; outline: none !important;"">Características da Mochila Drop Shot Bentor Lima:<br style=""box-sizing: inherit; outline: none !important;""><br style=""box-sizing: inherit; outline: none !important;"">Tipo de produto: Mochila de padel</p> <p style=""box-sizing: inherit; margin: 0px 0px 1em; padding: 0px; color: #b1b9c9; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; background-color: #1c1e2a; outline: none !important;"">Características: Conforto e Durabilidade</p> <p style=""box-sizing: inherit; margin: 0px 0px 1em; padding: 0px; color: #b1b9c9; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; background-color: #1c1e2a; outline: none !important;"">Nível de jogo: Todos os níveis</p> <p style=""box-sizing: inherit; margin: 0px 0px 1em; padding: 0px; color: #b1b9c9; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; background-color: #1c1e2a; outline: none !important;"">Material: Poliéster</p> <p style=""box-sizing: inherit; margin: 0px 0px 1em; padding: 0px; color: #b1b9c9; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; background-color: #1c1e2a; outline: none !important;"">Tecnologias: Poliéster</p> <p style=""box-sizing: inherit; margin: 0px 0px 1em; padding: 0px; color: #b1b9c9; font-family: -apple-system, BlinkMacSystemFont, 'San Francisco', 'Segoe UI', Roboto, 'Helvetica Neue', sans-serif; font-size: 14px; background-color: #1c1e2a; outline: none !important;"">Medidas: 31 x 15 x 51 (cm)</p>"
757222204,Mochila DROP SHOT MYLAR JMD,"704,1300000000","28,0000","<p><strong>Mochila </strong><strong>DROP SHOT MYLAR JMD</strong></p> <p> </p> <p>A Mochila <strong>MYLAR - JMD</strong> da <strong>DROP SHOT</strong> possui a parte frontal semi rigida com logo Drop Shot e assinatura de JMD.<br>Com tres compartimentos, sendo um para raquetes(beach tennis, padel ou tenis) na parte traseira. Na parte frontal, espaco mais estreito e com pequeno bolso interno com velcro. </p> <p>No compartimento central, possui bolso com velcro para laptop e todo espaco disponivel para roupas, calcados e acessorios de jogo.<br>Alem disso na laterial, de um lado um bolso com rede elastica para garrafinha.<br>Possui alça superior.<br>Cor: Preto com detalhes em celeste.<br>Dimensao aproximada: largura 34, profundidade 28cm (5+18+5) e altura 48 cm.• </p> <p>Prazo para postagem: 3 dias úteis</p> <div id=""product-description""> <div> <div> <div> <div> <p>* Fotos meramente ilustrativas , cores e tonalidades do produto, podem variar de acordo com a luz e tela do dispositivo que você visualização.</p> </div> </div> </div> </div> </div> <div class=""container"" style=""box-sizing: border-box; font-variant-ligatures: none; width: 1220px; padding-right: 7.5px; padding-left: 7.5px; margin-right: auto; margin-left: auto; max-width: 1220px; color: #4c4c4c; font-family: 'Open Sans', sans-serif; font-size: 14px; font-style: normal; font-variant-caps: normal; font-weight: 600; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; white-space: normal; background-color: #ffffff; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;""> </div>"
